,id,time,activityrecognition#1,android.sensor.accelerometer#mean,android.sensor.accelerometer#min,android.sensor.accelerometer#max,android.sensor.accelerometer#std,android.sensor.game_rotation_vector#mean,android.sensor.game_rotation_vector#min,android.sensor.game_rotation_vector#max,android.sensor.game_rotation_vector#std,android.sensor.gravity#mean,android.sensor.gravity#min,android.sensor.gravity#max,android.sensor.gravity#std,android.sensor.gyroscope#mean,android.sensor.gyroscope#min,android.sensor.gyroscope#max,android.sensor.gyroscope#std,android.sensor.gyroscope_uncalibrated#mean,android.sensor.gyroscope_uncalibrated#min,android.sensor.gyroscope_uncalibrated#max,android.sensor.gyroscope_uncalibrated#std,android.sensor.light#mean,android.sensor.light#min,android.sensor.light#max,android.sensor.linear_acceleration#mean,android.sensor.linear_acceleration#min,android.sensor.linear_acceleration#max,android.sensor.linear_acceleration#std,android.sensor.magnetic_field#mean,android.sensor.magnetic_field#min,android.sensor.magnetic_field#max,android.sensor.magnetic_field#std,android.sensor.magnetic_field_uncalibrated#mean,android.sensor.magnetic_field_uncalibrated#min,android.sensor.magnetic_field_uncalibrated#max,android.sensor.magnetic_field_uncalibrated#std,android.sensor.orientation#mean,android.sensor.orientation#min,android.sensor.orientation#max,android.sensor.orientation#std,android.sensor.rotation_vector#mean,android.sensor.rotation_vector#min,android.sensor.rotation_vector#max,android.sensor.rotation_vector#std,sound#mean,sound#min,sound#max,sound#std,target,user
5431,18254,3.0,100.0,9.882194546360001,7.78168857338,11.2847647075,0.646265596443,0.407312115673,0.34355105886,0.44594171834,0.0556296169125,9.806650096255,9.806649489480002,9.80665053019,4.4075063542549996e-07,0.37019693298699996,0.308626629375,0.431767236599,0.0870735584075,0.15858206689,0.125582963552,0.21234575793299998,0.046960852836100006,14.0,14.0,14.0,1.1712909514299998,1.1712909514299998,1.1712909514299998,0.0403297815101,44.633395568800005,44.633395568800005,44.633395568800005,0.250899422577,162.10801954299998,162.10801954299998,162.10801954299998,1.00617969206,215.766377045,215.766377045,215.766377045,1.28368206911,0.977403675787,0.965873030861,0.988934320713,0.016306794437299998,83.0120590359,83.0120590359,83.0120590359,0.7277914288289999,4,4
4454,18957,212.0,85.0,9.821829105710002,9.668704654319999,9.972274282010002,0.067030059428,0.78010242758,0.776874881158,0.782520357163,0.00290851498195,9.806649766769999,9.806649766769999,9.806649766769999,6.71122116726e-07,0.020122684691299998,0.0021160992991600003,0.043038911280500004,0.0113497979857,0.0414691468159,0.0173640531858,0.0690466933117,0.0177944124432,129.0,129.0,129.0,0.102747104601,0.0646893602399,0.165619566941,0.054850290131400005,74.3618334922,73.7794009192,75.54568154430001,0.641795937699,185.094960266,184.459021837,185.666295867,0.509279709071,113.97064680700001,113.92134399700001,114.01994961700001,0.06972470256510001,0.834301797395,0.834301797395,0.834301797395,0.000576184681494,70.2216169108,70.2216169108,70.2216169108,0.710947146624,3,4
4772,19255,158.0,100.0,9.892776238889999,9.31652295989,11.3688931208,0.38830319958899995,0.910557994223,0.909870209728,0.911245778718,0.0009726741608189999,9.80662656232,9.8066239587,9.80662916594,3.68207471595e-06,0.040581278289300006,0.00791771841953,0.0886154798985,0.016461866584900002,0.0721913466099,0.0618755548459,0.0813437657854,0.00978610679131,23.0,23.0,23.0,0.134726407932,0.134726407932,0.134726407932,0.021605912987900003,65.81899421899999,65.81899421899999,65.81899421899999,0.31461228087299997,257.01038106,255.02542023900003,258.580490812,1.0505946644700002,161.665767916,161.665767916,161.665767916,1.09430109156,0.945996444323,0.945996444323,0.945996444323,0.0029249672246999996,86.2274459834,86.2227811658,86.2321108011,0.006597048393359999,3,4
5045,18596,26.0,62.0,9.77377835987,9.682344453230002,10.0361677633,0.073133476842,0.701579145306,0.701409016138,0.7017492744730001,0.000240598976034,9.8066497424,9.80664945148,9.806650033330001,4.11430081389e-07,0.010703721789799999,0.0075312526020500006,0.0138761909775,0.0044865489514899996,0.0474784618975,0.0298512536493,0.06648055270639999,0.0133115535038,106.0,106.0,106.0,0.07838121530310001,0.0758016891363,0.0809607414699,0.00364800088958,137.12381714100002,137.12381714100002,137.12381714100002,0.182426610707,186.38672048,185.53032135,188.197077554,0.637813619793,109.14865773,109.14865773,109.14865773,0.113069497602,0.8084410709350001,0.808213194584,0.8086689472859999,0.000322265826128,69.2868096926,69.2868096926,69.2868096926,2.1475248321400002,3,4
4084,18302,51.0,85.0,9.770734547089999,7.89844960903,10.6417226093,0.36363569185500005,0.7439358850059999,0.7439358850059999,0.7439358850059999,0.00577113353043,9.806641455689999,9.806641455689999,9.806641455689999,3.24123606801e-07,0.0393297299559,0.0344909046078,0.044168555304,0.0068431324332399995,0.0571085493601,0.0571085493601,0.0571085493601,0.0226805478975,0.0,0.0,0.0,0.08836900107310001,0.08836900107310001,0.08836900107310001,0.424663023882,42.108075235,42.108075235,42.108075235,0.692042586523,170.548673404,170.548673404,170.548673404,3.16473283462,280.98656216,277.444359114,284.528765205,5.00943158763,0.6902499604919999,0.6902499604919999,0.6902499604919999,0.00401106106173,81.8562588658,77.699303964,86.0132137675,5.8788220002400005,4,4
639,18699,129.0,92.0,9.83773674931,9.48763651158,10.3341178125,0.203823357118,0.7273600913330001,0.7273600913330001,0.7273600913330001,0.00044456817220699997,9.806650350630001,9.806650350630001,9.806650350630001,7.31641227653e-07,0.029574964959400003,0.029574964959400003,0.029574964959400003,0.0245273820492,0.04285717049169999,0.031052149302599998,0.0619840116578,0.0167153167191,138.0,138.0,138.0,0.40831505221000003,0.40831505221000003,0.40831505221000003,0.144697245334,104.649719976,104.522438454,104.777001497,0.180003253945,203.794330359,202.36553560299998,205.56760688900002,0.8585634206110001,104.21357795200001,104.21357795200001,104.21357795200001,0.155841515701,0.777621254025,0.777621254025,0.777621254025,0.000363320973346,78.2571522659,78.08890082149999,78.4254037102,0.237943474459,3,4
4460,19082,58.0,100.0,9.74539511765,9.71586015445,9.78240701356,0.0165004231913,0.358989535795,0.35861904821699997,0.35936002337300005,0.000523948557498,9.806649463080001,9.806649463080001,9.806649463080001,3.9775089069e-07,0.00742951284753,0.0038634511617600003,0.010995574533299999,0.005043172800270001,0.044421286651,0.044421286651,0.044421286651,0.015042430018200001,78.0,78.0,78.0,0.0661255991285,0.05542514060880001,0.0767189596212,0.010647313488600001,112.279205555,112.279205555,112.279205555,2.02746070191,159.825006258,159.608969009,159.998571971,0.143956670174,58.3232057943,58.20990473609999,58.429440074700004,0.0912508094993,0.476573741285,0.476569129541,0.47657835302900003,6.5219909110199994e-06,69.2897909487,69.2897909487,69.2897909487,0.7744891206460001,3,4
4803,18530,45.0,56.0,9.659372991189999,9.241998960010001,10.0192762887,0.187370875913,0.834994654707,0.8319023824439999,0.838778368981,0.0018551404974799998,9.80664921968,9.806649017689999,9.80664942168,2.8566406893e-07,0.026217142310099997,0.024281413885599998,0.028152870734599995,0.0027375333909999996,0.0518301580789,0.037972042833,0.06813270407430001,0.0152281910579,130.0,130.0,130.0,0.270469143521,0.270469143521,0.270469143521,0.318032852858,166.638233004,159.602412262,179.23410352099998,10.933272179100001,248.238246827,240.22816237900003,251.77722295700002,5.37529065291,266.574395777,266.574395777,266.574395777,0.29230989081000003,0.7664019009049999,0.7635945754019999,0.769209226408,0.00397015780034,84.0792402672,82.8390239173,85.3194566172,1.7539307824200001,3,4
5567,18856,111.0,100.0,9.78075707825,9.27593332328,11.038022892,0.412599225873,0.34343896018799996,0.34343896018799996,0.34343896018799996,0.00164095094316,9.80664993723,9.80664978149,9.80665009296,2.20242549146e-07,0.15781453367999998,0.052704607563199994,0.561742324545,0.132369070047,0.22550009900899998,0.028126349100700002,1.49961435187,0.427632928873,87.0,87.0,87.0,0.157642663322,0.157642663322,0.157642663322,0.18694346976,104.456665322,99.94108264370001,108.798713369,2.71636065693,177.748170577,176.31364099200002,179.182700163,2.0287311954400002,47.151308566400004,44.7859419949,49.516675138000004,3.34513348547,0.384795821984,0.383410586599,0.386181057369,0.00195901866855,77.2223208832,77.2223208832,77.2223208832,0.0229225147158,3,4
5071,18961,216.0,85.0,9.83687788207,9.74107253117,9.90190692896,0.045145359167099997,0.7948446505419999,0.793665805414,0.7964016990039999,0.00111810888148,9.80664913888,9.806649095360001,9.80664918239,6.15395026061e-08,0.011720294585799998,0.0021160992991600003,0.0259743467177,0.0060752523392899995,0.047273632489599995,0.034382543948699995,0.0701724408891,0.00900218353536,129.0,129.0,129.0,0.0670517677238,0.0670517677238,0.0670517677238,0.054850290131400005,70.6370538641,70.41746942340001,70.93842400279999,0.196469517403,185.937771716,185.75222944,186.20886322099997,0.19296921815499998,118.05663505,117.803287849,118.30998225100001,0.358287047643,0.8518584929530001,0.8518584929530001,0.8518584929530001,0.0003328782339,71.8464280414,70.5345373463,73.1583187366,1.8552936134400002,3,4
