,id,time,activityrecognition#1,android.sensor.accelerometer#mean,android.sensor.accelerometer#min,android.sensor.accelerometer#max,android.sensor.accelerometer#std,android.sensor.game_rotation_vector#mean,android.sensor.game_rotation_vector#min,android.sensor.game_rotation_vector#max,android.sensor.game_rotation_vector#std,android.sensor.gravity#mean,android.sensor.gravity#min,android.sensor.gravity#max,android.sensor.gravity#std,android.sensor.gyroscope#mean,android.sensor.gyroscope#min,android.sensor.gyroscope#max,android.sensor.gyroscope#std,android.sensor.gyroscope_uncalibrated#mean,android.sensor.gyroscope_uncalibrated#min,android.sensor.gyroscope_uncalibrated#max,android.sensor.gyroscope_uncalibrated#std,android.sensor.light#mean,android.sensor.light#min,android.sensor.light#max,android.sensor.linear_acceleration#mean,android.sensor.linear_acceleration#min,android.sensor.linear_acceleration#max,android.sensor.linear_acceleration#std,android.sensor.magnetic_field#mean,android.sensor.magnetic_field#min,android.sensor.magnetic_field#max,android.sensor.magnetic_field#std,android.sensor.magnetic_field_uncalibrated#mean,android.sensor.magnetic_field_uncalibrated#min,android.sensor.magnetic_field_uncalibrated#max,android.sensor.magnetic_field_uncalibrated#std,android.sensor.orientation#mean,android.sensor.orientation#min,android.sensor.orientation#max,android.sensor.orientation#std,android.sensor.rotation_vector#mean,android.sensor.rotation_vector#min,android.sensor.rotation_vector#max,android.sensor.rotation_vector#std,sound#mean,sound#min,sound#max,sound#std,target,user
5833,10886,112.0,100.0,9.87803463176,9.8460934815,9.90386738165,0.013006331062700001,0.635505338526,0.635501054287,0.635514418467,4.31196537894e-06,9.80660237263,9.8065889039,9.806615841360001,1.90476606348e-05,0.0013178676493900002,0.0,0.0027318724481800003,0.00136847123897,0.048915010890499995,0.048915010890499995,0.048915010890499995,0.00011817787457799999,34.0,34.0,34.0,0.0122617281629,0.0122617281629,0.0122617281629,0.007001193761979999,73.0292375097,73.0292375097,73.0292375097,0.268503801832,262.986307465,261.798422575,264.174192355,1.6799229219799998,8.79296291278,8.78542542974,8.79868739906,0.00572669300221,0.0767677770878,0.0767677770878,0.0767677770878,7.509414182980001e-06,84.03567180430001,83.8597075819,84.4968743351,0.806101581269,2,3
942,11607,348.0,100.0,9.83644532553,9.817609700110001,9.85614396337,0.00835179994611,0.9179489952609999,0.917948315539,0.917950044166,4.40162157049e-07,9.80659071326,9.80657893763,9.80660169784,1.10115160291e-05,0.0036515847391699998,0.0027318724481800003,0.00457129703015,0.0013006695953900003,0.0493026742516,0.0477726317134,0.0504324667901,0.00121448141802,3.0,3.0,3.0,0.014304544732399999,0.014304544732399999,0.014304544732399999,0.0077145462229099996,38.7482704289,38.5427421021,38.9537987557,0.29066094721200003,280.26480921,280.26480921,280.26480921,0.41583347530599996,348.99122052,348.99119329900003,348.991245306,1.60384428814e-05,0.0962767896897,0.09627265434689998,0.0962829927038,5.66255128168e-06,30.3702787976,30.3702787976,30.3702787976,8.43715703907,2,3
935,10782,8.0,100.0,9.86493743276,9.503406424889999,11.8063387833,0.334687030942,0.8015095003370001,0.78555014811,0.8257064793250001,0.0124319246678,9.80661146625,9.80661146625,9.80661146625,4.4075063542549996e-07,0.09588248251569999,0.08027243500039999,0.111492530031,0.022075940905400004,0.450992344683,0.450992344683,0.450992344683,0.177095751244,29.0,29.0,29.0,1.8782155520599997,1.8782155520599997,1.8782155520599997,0.132556656217,42.7186354412,42.5897031276,42.847567754800004,0.182337826521,236.66641451599997,234.24570600400003,238.237965331,1.9079263189200002,73.73545435220001,70.1378965283,82.8150650546,4.07419052509,0.587653825278,0.578585130397,0.594522465311,0.00819328029796,84.03567180430001,83.8597075819,84.4968743351,0.806101581269,2,3
1551,12118,175.0,100.0,9.852051195189999,8.38378222943,10.6959426341,0.27322843823000004,0.8228314096930001,0.815747623678,0.8250354316259999,0.0018252938855599999,9.80659218485,9.80659218485,9.80659218485,2.66920210565e-05,0.00743149650752,0.00743149650752,0.00743149650752,0.0208146327617,0.0564513284557,0.0563984456509,0.0565042112605,7.47875797645e-05,147.0,147.0,147.0,0.037014353433599996,0.013418643696000002,0.0606100631711,0.0333693727247,45.335942212,45.335942212,45.335942212,0.713494144068,235.436205863,235.436205863,235.436205863,1.14078576281,179.219996206,177.65922462900002,179.60413190900002,0.623630944771,0.999838462908,0.999787426444,0.999864195579,4.41993948217e-05,68.0521048384,68.0521048384,68.0521048384,3.53256374747,2,3
806,11096,322.0,100.0,9.83135574613,9.81683429092,9.86524527495,0.012113317888899999,0.481326999559,0.48131809636000006,0.481332665166,4.856275145880001e-06,9.80660702333,9.80660702333,9.80660702333,2.93128075574e-05,0.0036651915,0.0036651915,0.0036651915,0.0013006695953900003,0.047718561826200004,0.046522112761900006,0.048915010890499995,0.00169203449342,16.0,16.0,16.0,0.0307637254506,0.0054753992329300005,0.059161301928,0.026977668819400002,60.7999741093,59.982614668800004,61.2350428166,0.708345762908,270.875580283,269.803248625,271.468769785,0.735171525781,32.077997053400004,32.0772614165,32.0870935372,0.0019905433419300004,0.27638064536699997,0.276367605366,0.276384991979,6.3713113261e-06,84.03567180430001,83.8597075819,84.4968743351,0.806101581269,2,3
5831,12134,191.0,100.0,9.84773074081,9.64739091617,9.97197563751,0.0656510951799,0.280224281938,0.279058855663,0.28074634899900003,0.0005207376822280001,9.806604679500001,9.806604679500001,9.806604679500001,3.3312931833000006e-05,0.015478353939,0.0050373238975400005,0.028126348093,0.0117016570416,0.05052117780180001,0.05052117780180001,0.05052117780180001,0.048837480970099996,147.0,147.0,147.0,0.023081066472099995,0.0217322332308,0.0244298997133,0.0019075382631600002,43.784896796700004,43.784896796700004,43.784896796700004,0.863412875882,241.958520787,241.958520787,241.958520787,0.674194240084,89.2622185208,89.2307228481,89.2966760465,0.024522854270299998,0.69175215343,0.69175215343,0.69175215343,0.00316980949219,60.8799709223,59.9477276879,61.8122141566,1.31839102539,2,3
3631,10482,25.0,100.0,10.9400389305,8.00615332161,34.187179405,4.40016148584,0.926205937354,0.7705777796719999,0.9963018668639999,0.08435049062930002,9.80657560768,9.80657560768,9.80657560768,4.66473141248e-05,0.309644742187,0.2519669202,0.367322564174,0.08156875810219999,0.12065312978599999,0.09219007157289999,0.149116187999,0.0402528429515,792.0,792.0,792.0,2.5588294541799996,2.5588294541799996,2.5588294541799996,0.395750723908,27.851157928299997,20.5584152478,35.1439006088,10.3134956057,292.755153362,292.70813241400003,292.802174311,0.0664976630843,313.80264083599997,295.12021719999996,352.481234762,18.550420357300002,0.433164011993,0.343419817244,0.522908206743,0.126917457359,84.03567180430001,83.8597075819,84.4968743351,0.806101581269,1,3
4301,12507,18.0,100.0,10.3350511675,6.654275026280001,15.001098454800001,2.2610498527900003,0.834192513195,0.792736860442,0.866503498411,0.021360942494900004,9.806591784010001,9.806554586599999,9.80662898143,5.26050887791e-05,0.773522306195,0.773522306195,0.773522306195,0.305966037998,1.15104153332,0.907176614971,1.31748665709,0.215833155726,2479.0,2479.0,2479.0,4.603104684880001,4.603104684880001,4.603104684880001,0.547403968694,54.7534602217,54.7534602217,54.7534602217,1.23715450152,302.989284688,300.366579418,305.043477946,2.38971742914,79.0671020291,65.3924651623,96.3495423808,9.94093458376,0.639624850873,0.546809579242,0.7104387868909999,0.0810580664152,65.3010757701,65.3010757701,65.3010757701,0.806101581269,5,3
2094,11902,274.0,100.0,9.87254471226,9.62516779461,10.5201089416,0.154783016163,0.35521688946400004,0.328430901737,0.379864842064,0.0169142126706,9.80657313217,9.80655519695,9.80659445985,1.98500726399e-05,0.0428522888455,0.008638938930479999,0.0720199528962,0.0261837924315,0.111167964504,0.0645670420468,0.157768886961,0.06590365655790001,3.0,3.0,3.0,0.10796013383400001,0.014700680101299999,0.17256259714000002,0.082740640184,37.9749094798,37.9749094798,37.9749094798,1.6945983702599998,273.304533322,271.29594944900003,275.313117196,2.84056655507,324.728679134,323.923124207,326.755553128,0.970867559006,0.317698575541,0.313391542043,0.32051334522,0.0023774434887600003,44.6089784276,44.6089784276,44.6089784276,8.86104915173,2,3
24,11656,28.0,54.0,9.7303974709,9.050715907010002,11.003434451199999,0.295130633061,0.723544070204,0.7151470809029999,0.736945651793,0.00805786417809,9.806548480850001,9.806548480850001,9.806548480850001,1.88392338404e-05,0.270307147257,0.04457223670800001,0.412518147175,0.140345521348,0.134245888624,0.134245888624,0.134245888624,0.0840740131368,2.0,2.0,2.0,0.127391459126,0.110974678048,0.143808240203,0.0232168344503,40.4004370335,40.4004370335,40.4004370335,4.40347981387,261.406583978,259.31063207299997,262.869687595,1.8620128272599998,65.95051586390001,62.6967247948,69.1959167851,1.7228553654599998,0.538070381804,0.529355683827,0.546785079781,0.0123244440711,84.13318984680001,83.7097098347,84.3580974841,0.36698075831699994,2,3
